GMST|0x6de1c|fCombatTeammateFollowRadiusMult|
DIAL|0x1013ae1|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic010|I had questions.
DIAL|0x1013ae2|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic009|How did I get here?
INFO|0x1013afc||
DIAL|0x1013ae3|NVDLC01ElijahDialogueNVDLC01ElijahTopic035|Then maybe you better tell me why I'm here.
DIAL|0x1013ae4|NVDLC01ElijahDialogueNVDLC01ElijahTopic034|I'm not alone, then.
DIAL|0x1013ae5|NVDLC01ElijahDialogueNVDLC01ElijahTopic033|You've caught others?
DIAL|0x1013ae6|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic008|Who's the woman Hologram in the Fountain?
INFO|0x1013af6||
DIAL|0x1013ae7|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic007|If I can't punch them or smash them, that doesn't leave me many options.
DIAL|0x1013ae8|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic006|Aside from switching them off, what can I do?
DIAL|0x1013ae9|NVDLC01ElijahDialogueNVDLC01ElijahProxyOldTopic003|How are they different?
DIAL|0x1013aea|NVDLC01ElijahDialogueNVDLC01ElijahProxyOldTopic002|"Security" doesn't sound safe to me.
DIAL|0x1013aeb|NVDLC01ElijahDialogueNVDLC01ElijahTopic032|What is this rifle?
INFO|0x1013afb||
DIAL|0x1013aec|NVDLC01ElijahDialogueNVDLC01ElijahTopic031|What do you mean?
INFO|0x1013af9||
DIAL|0x1013aed|NVDLC01ElijahDialogueNVDLC01ElijahTopic030|Where is my gear?
INFO|0x1013b00||
DIAL|0x1013aee|NVDLC01ElijahDialogueNVDLC01ElijahTopic029|How many of these victims did you bring here?
INFO|0x1013b03||
DIAL|0x1013aef|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic005|What's inside the Sierra Madre?
INFO|0x1013af8||
DIAL|0x1013af0|NVDLC01ElijahDialogueNVDLC01ElijahTopic028|Are they all dead?
INFO|0x1013aff||
DIAL|0x1013af1|NVDLC01ElijahDialogueNVDLC01ElijahTopic027|I'll help. What do you want me to do?
DIAL|0x1013af2|NVDLC01ElijahDialogueNVDLC01ElijahTopic026|Why would you do that?
INFO|0x1013afd||
DIAL|0x1013af3|NVDLC01ElijahDialogueNVDLC01ElijahTopic022|So I need others to pull off this... heist. Who?
DIAL|0x1013af4|NVDLC01ElijahDialogueNVDLC01ElijahTopic020|So how do I destroy the radios and speakers then?
INFO|0x1013afa||
DIAL|0x1013b06|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic015|What do you mean?
DIAL|0x1013b07|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic014|The real work? What was this, a warm-up?
INFO|0x1013b0e||
DIAL|0x1013b08|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic013|We'll head out, then.
INFO|0x1013b0c||
DIAL|0x1013b09|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic004|What is the Gala Event?
INFO|0x1013b0b||
DIAL|0x1013b0a|NVDLC01ElijahDialogueNVDLC01ElijahTalkingActivatorTopic003|How am I supposed to get to the markers on my map?
INFO|0x1013b0f||
DIAL|0x1013b10|NVDLC01ElijahDialogueNVDLC01ElijahTopic017|Where can I find him?
INFO|0x1013b11||
DIAL|0x1013b14|NVDLC01ChristineDialogueNVDLC01ChristineTopic280|So after your speech about control, now you're going to use the collars like Elijah did?
INFO|0x1013b15||
DIAL|0x1013b17|NVDLC01DogDialogueNVDLC01DogTopic077|When we were sneaking, you mentioned Lou... who's Lou?
INFO|0x1013b18||
QUST|0x1013aa5|NVDLC01EnemyTest|DLC01 Enemy Test
QUST|0x1013a44|NVDLC01MQ03c|Last Luxuries
QUST|0x1013a43|NVDLC01MQ03b|Curtain Call at the Tampico
QUST|0x1013a40|NVDLC01MQ02b|Strike Up the Band
QUST|0x1013a3f|NVDLC01MQ02a|Fires in the Sky
QUST|0x1013a04|NVDLC01MQ02c|Mixed Signals
QUST|0x1013a03|NVDLC01MQ03a|Put the Beast Down
QUST|0x10139e1|NVDLC01MQ01c|Find Collar 12: Christine
QUST|0x10139e0|NVDLC01MQ01b|Find Collar 14: Dean Domino
QUST|0x10139df|NVDLC01MQ01a|Find Collar 8: "Dog"
QUST|0x10138c3|NVDLC01StarletDialogue|
PACK|0x1013a6f|NVDLC01ElijahTalkingActivatorDialogue|
PACK|0x1013a41|NVDLC01ElijahProxyInitialDialogue|
PACK|0x1013946|NVDLC01TheaterDeanEnd|
PACK|0x1013945|NVDLC01ChristineSuitesEndPackage|
PACK|0x10137bb|NVDLC01Gala02ChristineDownElevatorPackage|
LSCR|0x1013924|NVDLC01LoadScreenGen20|
LSCR|0x101377f|NVDLC01LoadScreenClinicPolice01|
EXPL|0x1013941|NVDLC01VaultGeneratorExplosion|Speaker Explosion
IMAD|0x1013546|FadeToRedISFX|
FLST|0x101394f|NVDLC01GhostPeopleSeeker|
FLST|0x101394e|NVDLC01GhostPeopleTrapper|
FLST|0x101394d|NVDLC01GhostPeopleHarvester|
FLST|0x1205be|EnergyWeapons|
FLST|0x10134fa|NVDLC01CardsDeadMansHand|
MESG|0x10139bd|NVDLC01SierraMadreMartiniPerkGain|
MESG|0x10139bc|NVDLC01GhostHunterPerkGain|
MESG|0x10139bb|NVDLC01CoinOperatorPerkGain|
MESG|0x101393f|NVDLC01VaultTurretGeneratorUMsg|Turret Defense Electric Generator
MESG|0x101393e|NVDLC01VaultTurretGeneratorMWMsg|Turret Defense Electric Generator
MESG|0x101393c|NVDLC01VaultTurretGeneratorMsg|Turret Defense Electric Generator
MESG|0x1013937|NVDLC01SuitesRangedWarningB|
MESG|0x1013936|NVDLC01SuitesProximityWarningB|
MESG|0x10138c7|NVDLC01VendingMachineMsg|Vending Machine
MESG|0x10138a9|NVDLC01ElijahsChemistrySetMsg|Chemistry Set
MESG|0x101389e|NVDLC01VaultMainTerminalLockedMsg|
MESG|0x101385d|NVDLC01BrokenIntercomMsg|Broken Intercom
MESG|0x1013769|NVDLC01DogGalaDiagramMenuMsg|
MESG|0x1013545|NVDLC01SuitesKitchenDoorMsg|
MESG|0x1013544|NVDLC01SuitesEmergencyDoorMsg|
RCPE|0x10138cd|RecipeNVDLC01Extra06|Strange Chem
RCPE|0x10138cc|RecipeNVDLC01Extra05|Strange Chem
RCPE|0x10138cb|RecipeNVDLC01Extra04|Surprise Aid Item
RCPE|0x10138ca|RecipeNVDLC01Extra03|Surprise Aid Item
RCPE|0x10138c9|RecipeNVDLC01Extra02|Surprise Food
RCPE|0x10138c8|RecipeNVDLC01Extra01|Surprise Food
MSET|0x10137bc|musSetINCDLC1|musSetINCHostile
CHAL|0x101352d|NVDLC01ChallengeSouvenirCollector|Sierra Madre Souvenir Collector
CHAL|0x10134fb|NVDLC01ChallengeDeadMansHand|Dead Man's Hand
CCRD|0x10134ed|NVDLC01CardJoker02SM|Joker 2 - Sierra Madre
CCRD|0x10134ec|NVDLC01CardJoker01SM|Joker 1 - Sierra Madre
CCRD|0x10134eb|NVDLC01CardDiamondsQueenSM|Queen of Diamonds - Sierra Madre
CCRD|0x10134ea|NVDLC01CardDiamondsKingSM|King of Diamonds - Sierra Madre
CCRD|0x10134e9|NVDLC01CardDiamondsJackSM|Jack of Diamonds - Sierra Madre
CCRD|0x10134e8|NVDLC01CardDiamondsAceSM|Ace of Diamonds - Sierra Madre
CCRD|0x10134e7|NVDLC01CardDiamonds9SM|9 of Diamonds - Sierra Madre
CCRD|0x10134e6|NVDLC01CardDiamonds8SM|8 of Diamonds - Sierra Madre
CCRD|0x10134e5|NVDLC01CardDiamonds7SM|7 of Diamonds - Sierra Madre
CCRD|0x10134e4|NVDLC01CardDiamonds6SM|6 of Diamonds - Sierra Madre
CCRD|0x10134e3|NVDLC01CardDiamonds5SM|5 of Diamonds - Sierra Madre
CCRD|0x10134e2|NVDLC01CardDiamonds4SM|4 of Diamonds - Sierra Madre
CCRD|0x10134e1|NVDLC01CardDiamonds3SM|3 of Diamonds - Sierra Madre
CCRD|0x10134e0|NVDLC01CardDiamonds2SM|2 of Diamonds - Sierra Madre
CCRD|0x10134df|NVDLC01CardDiamonds10SM|10 of Diamonds - Sierra Madre
CCRD|0x10134de|NVDLC01CardHeartsQueenSM|Queen of Hearts - Sierra Madre
CCRD|0x10134dd|NVDLC01CardHeartsKingSM|King of Hearts - Sierra Madre
CCRD|0x10134dc|NVDLC01CardHeartsJackSM|Jack of Hearts - Sierra Madre
CCRD|0x10134db|NVDLC01CardHeartsAceSM|Ace of Hearts - Sierra Madre
CCRD|0x10134da|NVDLC01CardHearts9SM|9 of Hearts - Sierra Madre
CCRD|0x10134d9|NVDLC01CardHearts8SM|8 of Hearts - Sierra Madre
CCRD|0x10134d8|NVDLC01CardHearts7SM|7 of Hearts - Sierra Madre
CCRD|0x10134d7|NVDLC01CardHearts6SM|6 of Hearts - Sierra Madre
CCRD|0x10134d6|NVDLC01CardHearts5SM|5 of Hearts - Sierra Madre
CCRD|0x10134d5|NVDLC01CardHearts4SM|4 of Hearts - Sierra Madre
CCRD|0x10134d4|NVDLC01CardHearts3SM|3 of Hearts - Sierra Madre
CCRD|0x10134d3|NVDLC01CardHearts2SM|2 of Hearts - Sierra Madre
CCRD|0x10134d2|NVDLC01CardHearts10SM|10 of Hearts - Sierra Madre
DIAL|0x10134bb|NVDLC01DogDialogueNVDLC01GodTopic140|If you don't stay here, I'll bring Dog out and leave him here.
INFO|0x10134ca||
DIAL|0x10134bc|NVDLC01DogDialogueNVDLC01GodTopic139|Sounds to me if I bring Ghost People here, you couldn't handle them.
DIAL|0x10134bd|NVDLC01DogDialogueNVDLC01GodTopic133|I can't trust Dog to do this properly. I can trust you.
DIAL|0x10134be|NVDLC01DogDialogueNVDLC01GodTopic131|I need someone who can operate the switches - and stay in control.
DIAL|0x10134bf|NVDLC01DogDialogueNVDLC01GodTopic130|Because this requires intelligence, and I trust you to do this.
DIAL|0x10134c0|NVDLC01DogDialogueNVDLC01GodTopic129|I don't want Dog to have to deal with this, I prefer to deal with you.
INFO|0x10134c9||
DIAL|0x10134c1|NVDLC01DogDialogueNVDLC01GodTopic128|Yeah, well, I'll make Dog help me. Can't be hard to figure all this wire stuff out.
INFO|0x10134cb||
INFO|0x10134cc||
DIAL|0x10134c2|NVDLC01DogDialogueNVDLC01GodTopic127|If you know how to operate the switches, I need you to trust me to get through this.
DIAL|0x10134c3|NVDLC01DogDialogueNVDLC01GodTopic126|I'm not about to fight any more Ghost People just to feed you... or Dog.
DIAL|0x10134c4|NVDLC01DogDialogueNVDLC01GodTopic125|We don't really have time for this.
INFO|0x10134c8||
DIAL|0x10134c5|NVDLC01DogDialogueNVDLC01GodTopic124|So some of the "meat" inside them?
DIAL|0x10134c6|NVDLC01DogDialogueNVDLC01GodTopic123|All right, I'll go hunting, see what I can find.
INFO|0x10134c7||
DIAL|0x10134ce|NVDLC01DogDialogueNVDLC01GodTopic122|I expect you to do what you're told.
DIAL|0x10134cf|NVDLC01DogDialogueNVDLC01GodTopic132|If that's what it takes to make you listen, yes.
INFO|0x10134d0||
INFO|0x10134d1||
CCRD|0x10134ba|NVDLC01CardClubsQueenSM|Queen of Clubs - Sierra Madre
CCRD|0x10134b9|NVDLC01CardClubsKingSM|King of Clubs - Sierra Madre
CCRD|0x10134b8|NVDLC01CardClubsJackSM|Jack of Clubs - Sierra Madre
CCRD|0x10134b7|NVDLC01CardClubsAceSM|Ace of Clubs - Sierra Madre
CCRD|0x10134b6|NVDLC01CardClubs9SM|9 of Clubs - Sierra Madre
CCRD|0x10134b5|NVDLC01CardClubs8SM|8 of Clubs - Sierra Madre
CCRD|0x10134b4|NVDLC01CardClubs7SM|7 of Clubs - Sierra Madre
CCRD|0x10134b3|NVDLC01CardClubs6SM|6 of Clubs - Sierra Madre
CCRD|0x10134b2|NVDLC01CardClubs5SM|5 of Clubs - Sierra Madre
CCRD|0x10134b1|NVDLC01CardClubs4SM|4 of Clubs - Sierra Madre
CCRD|0x10134b0|NVDLC01CardClubs3SM|3 of Clubs - Sierra Madre
CCRD|0x10134af|NVDLC01CardClubs2SM|2 of Clubs - Sierra Madre
CCRD|0x10134ae|NVDLC01CardClubs10SM|10 of Clubs - Sierra Madre
CCRD|0x10134ad|NVDLC01CardSpadesQueenSM|Queen of Spades - Sierra Madre
CCRD|0x10134ac|NVDLC01CardSpadesKingSM|King of Spades - Sierra Madre
CCRD|0x10134ab|NVDLC01CardSpadesJackSM|Jack of Spades - Sierra Madre
CCRD|0x10134aa|NVDLC01CardSpadesAceSM|Ace of Spades - Sierra Madre
CCRD|0x10134a9|NVDLC01CardSpades9SM|9 of Spades - Sierra Madre
CCRD|0x10134a8|NVDLC01CardSpades8SM|8 of Spades - Sierra Madre
CCRD|0x10134a7|NVDLC01CardSpades7SM|7 of Spades - Sierra Madre
CCRD|0x10134a6|NVDLC01CardSpades6SM|6 of Spades - Sierra Madre
CCRD|0x10134a5|NVDLC01CardSpades5SM|5 of Spades - Sierra Madre
CCRD|0x10134a4|NVDLC01CardSpades4SM|4 of Spades - Sierra Madre
CCRD|0x10134a3|NVDLC01CardSpades3SM|3 of Spades - Sierra Madre
CCRD|0x10134a2|NVDLC01CardSpades2SM|2 of Spades - Sierra Madre
DIAL|0x1013471|NVDLC01ChristineDialogueNVDLC01ChristineTopic202|I just want to kill him anyway.
DIAL|0x1013472|NVDLC01ChristineDialogueNVDLC01ChristineTopic201|Maybe you're right, killing him is the best option.
DIAL|0x1013473|NVDLC01ChristineDialogueNVDLC01ChristineTopic200|He came this way for a reason, and I want to know why.
INFO|0x101348f||
DIAL|0x1013474|NVDLC01ChristineDialogueNVDLC01ChristineTopic199|I don't care. I'd rather reason with someone first than simply kill them.
INFO|0x1013498||
DIAL|0x1013475|NVDLC01ChristineDialogueNVDLC01ChristineTopic198|I'm not out to kill anyone, I just want to get out of here.
INFO|0x101348a||
DIAL|0x1013476|NVDLC01ChristineDialogueNVDLC01ChristineTopic197|I'd like to know why he did all this first and what's so important about the casino.
INFO|0x101349a||
DIAL|0x1013477|NVDLC01ChristineDialogueNVDLC01ChristineTopic196|Could always slap a collar on him and let him run into a wall of speakers.
INFO|0x101348d||
DIAL|0x1013478|NVDLC01ChristineDialogueNVDLC01ChristineTopic195|I'm fine with killing the son of a bitch. As long as we can torture him first.
INFO|0x1013492||
DIAL|0x1013479|NVDLC01ChristineDialogueNVDLC01ChristineTopic194|You mean business.
DIAL|0x101347a|NVDLC01ChristineDialogueNVDLC01ChristineTopic193|He's responsible for the scars.
DIAL|0x101347b|NVDLC01ChristineDialogueNVDLC01ChristineTopic192|You want to kill him.
INFO|0x101348c||
DIAL|0x101347c|NVDLC01ChristineDialogueNVDLC01ChristineTopic191|Why are you looking for him?
INFO|0x1013496||
DIAL|0x101347d|NVDLC01ChristineDialogueNVDLC01ChristineTopic190|Elijah? You need to see Elijah.
DIAL|0x101347e|NVDLC01ChristineDialogueNVDLC01ChristineTopic189|You're looking for the man inside the casino.
INFO|0x1013493||
DIAL|0x101347f|NVDLC01ChristineDialogueNVDLC01ChristineTopic187|You kind of... changed there for a second.
INFO|0x10134a0||
INFO|0x10134a1||
DIAL|0x1013480|NVDLC01ChristineDialogueNVDLC01ChristineTopic186|Um, do you want to talk about it, or...?
INFO|0x101349d||
INFO|0x101349e||
DIAL|0x1013481|NVDLC01ChristineDialogueNVDLC01ChristineTopic185|You really want to get to him, don't you.
INFO|0x101348e||
DIAL|0x1013482|NVDLC01ChristineDialogueNVDLC01ChristineTopic184|He's broadcasting from the casino.
INFO|0x1013495||
DIAL|0x1013484|NVDLC01ChristineDialogueNVDLC01ChristineTopic182|You can still do numbers and calculations.
INFO|0x101348b||
DIAL|0x1013485|NVDLC01ChristineDialogueNVDLC01ChristineTopic181|You can still do math, that's good to hear.
INFO|0x1013499||
DIAL|0x1013486|NVDLC01ChristineDialogueNVDLC01ChristineTopic180|Why... would someone remove your ability to write, or...
INFO|0x1013490||
INFO|0x1013491||
DIAL|0x1013487|NVDLC01ChristineDialogueNVDLC01ChristineTopic179|So... brain damage, or...?
INFO|0x1013497||
DIAL|0x1013488|NVDLC01ChristineDialogueNVDLC01ChristineTopic178|Something to do with the surgery.
INFO|0x1013494||
DIAL|0x1013489|NVDLC01ChristineDialogueNVDLC01ChristineTopic171|This nodding, frowning, pointing you do is wearing me out.
INFO|0x101349b||
INFO|0x101349c||
CCRD|0x1013469|NVDLC01CardSpades10SM|10 of Spades - Sierra Madre
STAT|0x1013412|NVDLC01FWEventLoop|
STAT|0x10133de|1stPersonSpaceAgeClean|
STAT|0x1013339|NVDLC01knifeKiosk|
STAT|0x101302c|NVDLC01VillaPlanter|
STAT|0x1012ef5|NVDLC01BasRmCorInExSmHall01|
STAT|0x1012eeb|NVDLC01strSnBlank|
STAT|0x1012eea|NVDLC01strSnBroke02|
STAT|0x1012ee9|NVDLC01strSnBroke01|
STAT|0x1012c8c|NVDLC01IntWasteBasket|
STAT|0x1012c24|NVDLC01BkstgeHallSmEndExSmR01|
STAT|0x1012c23|NVDLC01BkstgeHallSm1Way01|
STAT|0x1012c22|NVDLC01BkstgeHallSm1WayExSm01|
STAT|0x1012c21|NVDLC01BkstgeHallSm2Way02|
STAT|0x1012c20|NVDLC01BkstgeHallSmEndExSm01|
STAT|0x1012bbd|NVDLC01TheaterStageCurtain04|
STAT|0x1012bbc|NVDLC01TheaterStageStairs|
STAT|0x1012ba8|NVDLC01TSKitFlat4502Broken01|
STAT|0x1012ba7|NVDLC01TSKitFlat4501Broken01|
WEAP|0x1012cb4|NVDLC01WeapNV9mmPistolDean50|9mm Pistol
WEAP|0x1012cb3|NVDLC01WeapNV9mmPistolDean40|9mm Pistol
WEAP|0x1012cb2|NVDLC01WeapNV9mmPistolDean30|9mm Pistol
WEAP|0x1012cb1|NVDLC01WeapNV9mmPistolDean20|9mm Pistol
WEAP|0x1012cb0|NVDLC01WeapNV9mmPistolDean10plus|9mm Pistol
WEAP|0x1012c00|NVDLC1WeapShotgunChristine1|Sawed-Off Shotgun
WEAP|0x1012bff|NVDLC1WeapShotgunChristine10|Sawed-Off Shotgun
WEAP|0x1012bfe|NVDLC1WeapShotgunChristine20|Sawed-Off Shotgun
WEAP|0x1012bfd|NVDLC1WeapShotgunChristine30|Sawed-Off Shotgun
WEAP|0x1012bfc|NVDLC1WeapShotgunChristine40|Sawed-Off Shotgun
WEAP|0x1012bfb|NVDLC1WeapShotgunChristine50|Sawed-Off Shotgun
NPC_|0x101336d|NVDLC01Gala02CMDead|Corpse
NPC_|0xa11f5|DEADWastelanderHM|Wastelander
CREA|0x10133e4|NVDLC01CrHologramWTFriend|Hologram
CREA|0x1012c99|NVDLC01Gala02Turret01|Mark II Turret
ALCH|0x1012f3e|NVDLC01CloudKissLethal|Cloud Kiss (Lethal)
ALCH|0x1012f3d|NVDLC01CloudKissWeak|Cloud Kiss (Weak)
ALCH|0x1012f3c|NVDLC01CloudKissStrong|Cloud Kiss (Potent)
ALCH|0x1012c38|NVDLC01GhostSight|Ghost Sight
NOTE|0x1013411|NVDLC01ChipRewardNote|
NOTE|0x1013410|NVDLC01SuitesVeraMedNote|Vera Keyes' Medical Report
NOTE|0x101336e|NVDLC01Gala02SampleNote|Toxic Samples
NOTE|0x101332b|NVDLC01VendingModBearTrapFist|Vending Machine Code - "Bear Trap Fist - Heavy Duty Springs"
NOTE|0x101332a|NVDLC01VendingModHoloRifle|Vending Machine Code - "Hologram Rifle - Reinforced Components"
NOTE|0x1013329|NVDLC01VendingModAutoRifle|Vending Machine Code - "Automatic Rifle - Upgraded Internals"
NOTE|0x10132d9|NVDLC01DeanBlackmailTapeNote|Dean Domino's Blackmail Evidence
NOTE|0x10132d8|NVDLC01StarletAudition01Note|Vera Keyes' Audition
NOTE|0x10132d7|NVDLC01VaultTurretPasswordNote|Vault Turret Terminal Password
NOTE|0x1012f56|NVDLC01VendReturnOutfitItem|Vending Machine Code - "Return Outfit Item"
NOTE|0x1012f55|NVDLC01VendingStimpak|Vending Machine Code - "Stimpak"
NOTE|0x1012f53|NVDLC01VendReturnSAArmor|Vending Machine Code - "Return SA Armor"
NOTE|0x1012e4a|NVDLC01StarletMusicFragment01|Vera Keyes' "Let the Bright Tomorrow in" Song (I)
NOTE|0x1012e49|NVDLC01StarletMusicFragment03|Vera Keyes' "Let the Bright Tomorrow in" Song (III)
NOTE|0x1012e48|NVDLC01StarletMusicFragment02|Vera Keyes' "Let the Bright Tomorrow in" Song (II)
LVLI|0x101336f|NVDLC01CRJar50|
LVLI|0x1013254|NVDLC01CraftingLoot100|
LVLI|0x1013253|NVDLC01CraftingAbraxo75|
LVLI|0x1013252|NVDLC01CraftingTurpentine65|
LVLI|0x1013251|NVDLC01CraftingSpareParts75|
LVLI|0x1013250|NVDLC01CraftingSensorModule55|
LVLI|0x101324f|NVDLC01CraftingDuctTape75|
LVLI|0x101324e|NVDLC01CraftingPilotLight55|
LVLI|0x101324d|NVDLC01CraftingTinCan75|
LVLI|0x101324c|NVDLC01CraftingJunkFood55|
LVLI|0x101324b|NVDLC01CraftingWrench55|
LVLI|0x101324a|NVDLC01CraftingWonderGlue55|
LVLI|0x1013249|NVDLC01CraftingDrainedMFCell50|
LVLI|0x1013248|NVDLC01CraftingMedicalBrace60|
LVLI|0x1013247|NVDLC01CraftingScrapElectronics60|
LVLI|0x1013246|NVDLC01CraftingFissionBattery35|
LVLI|0x1013245|NVDLC01CraftingSurgicalTubing60|
LVLI|0x1013244|NVDLC01CraftingSurgicalForceps60|
LVLI|0x1013243|NVDLC01CraftingSurgicalScalpel55|
LVLI|0x1013241|NVDLC01CraftingCloudResidue35|
LVLI|0x10131f4|NVDLC01OvenLight100|
LVLI|0x10131b3|NVDLC01ClutterMagazineValue25|
LVLI|0x10131b2|NVDLC01ClutterCrafting100|
LVLI|0x1012f5b|NVDLC01VendReturnNoteOutfits100|
LVLI|0x1012f5a|NVDLC01VendReturnNoteOutfits10|
LVLI|0x1012f59|NVDLC01VendReturnNoteOutfits50|
LVLI|0x1012f58|NVDLC01VendReturnNoteOutfits25|
LVLI|0x1012f3b|NVDLC01GlassesLoot65|
LVLI|0x1012caf|NVDLC01Scaled9mmPistolDean|
LVLI|0x1012ca9|NVDLC01ScaledGaussRifleElijah|
LVLI|0x1012bfa|NVDLC01ScaledShotgunSawedChristine|
LVLI|0x1012bbb|NVDLC01CondSMArmorReinforcedLeveled75|
LVLI|0x101280b|NVDLC01Alcohol75|
LVLI|0x101280a|NVDLC01Alcohol100|
REGN|0x1012fa7|NVDLC01SierraMadreVillaC|
REGN|0x1012fa6|NVDLC01SierraMadreWTS|
REGN|0x1012fa5|NVDLC01SierraMadreWTN|
REGN|0x1012fa4|NVDLC01SierraMadreVillaD|
REGN|0x1012fa3|NVDLC01SierraMadreETN|
REGN|0x1012fa2|NVDLC01SierraMadreETS|
REGN|0x1012f3f|NVDLC01SierraMadreVilla|
DIAL|0x1012a1b|NVDLC01DogDialogueNVDLC01DogTopic058|Reach around to the chain on your neck, see if you can find a key.
DIAL|0x1012a1c|NVDLC01DogDialogueNVDLC01DogTopic020|Go to the Fountain and wait for me there.
INFO|0x1012a63||
DIAL|0x1012a1d|NVDLC01DogDialogueNVDLC01DogTopic019|Fine. Let's go, follow me.
INFO|0x1012a82||
INFO|0x1012a83||
DIAL|0x1012a1e|NVDLC01DogDialogueNVDLC01DogTopic016|Shut up, reject, and give me the key. Now.
INFO|0x1012a78||
DIAL|0x1012a1f|NVDLC01DogDialogueNVDLC01DogTopic014|Just give me the key - you want out of the cage, don't you?
INFO|0x1012a89||
DIAL|0x1012a20|NVDLC01DogDialogueNVDLC01DogTopic013|Now that you are awake, Master wants you to listen, Dog.
INFO|0x1012a71||
DIAL|0x1012a21|NVDLC01DogDialogueNVDLC01DogTopic012|I need your obedience. First, I'm going to show you a trick.
INFO|0x1012a7b||
DIAL|0x1012a22|NVDLC01DogDialogueNVDLC01DogTopic011|Dog, hidden on you is the key. Find it, and toss it to me.
INFO|0x1012a84||
DIAL|0x1012a24|NVDLC01DogDialogueNVDLC01GodTopic088|Surprised they could hear you over the alarm bell outside.
INFO|0x1012a6a||
INFO|0x1012a6b||
DIAL|0x1012a25|NVDLC01DogDialogueNVDLC01GodTopic087|What do you mean?
INFO|0x1012a81||
DIAL|0x1012a26|NVDLC01DogDialogueNVDLC01GodTopic086|In that case, I will bring him along, I don't need you.
INFO|0x1012a60||
DIAL|0x1012a27|NVDLC01DogDialogueNVDLC01GodTopic085|Even if Dog is more helpful, we can manage.
INFO|0x1012a6e||
DIAL|0x1012a29|NVDLC01DogDialogueNVDLC01GodTopic083|I can't convince you I'm not here for the Sierra Madre or the Old Man, so I'll prove it.
INFO|0x1012a58||
DIAL|0x1012a2b|NVDLC01DogDialogueNVDLC01GodTopic081|I have the power to let Dog out of his cage. I'm going to prove it by not doing it.
INFO|0x1012a6d||
DIAL|0x1012a2c|NVDLC01DogDialogueNVDLC01GodTopic080|Calm down. Follow me, willingly, I won't do it.
INFO|0x1012a73||
DIAL|0x1012a2d|NVDLC01DogDialogueNVDLC01GodTopic079|Goodbye, whoever you are... I'm going to let Dog out of his cage.
INFO|0x1012a61||
INFO|0x1012a62||
DIAL|0x1012a2e|NVDLC01DogDialogueNVDLC01GodTopic078|What if we go after the Old Man together?
INFO|0x1012a8f||
DIAL|0x1012a2f|NVDLC01DogDialogueNVDLC01GodTopic077|I want my freedom, too. You think I like having this collar on me?
INFO|0x1012a5b||
DIAL|0x1012a30|NVDLC01DogDialogueNVDLC01GodTopic076|The Old Man's voice is on my Pip-Boy, just like yours.
DIAL|0x1012a31|NVDLC01DogDialogueNVDLC01GodTopic075|I can play his voice, yes. I have an audio log from him on my Pip-Boy.
INFO|0x1012a85||
DIAL|0x1012a32|NVDLC01DogDialogueNVDLC01GodTopic074|If he hears the Old Man's voice, he'll do what the Old Man says.
INFO|0x1012a7e||
DIAL|0x1012a33|NVDLC01DogDialogueNVDLC01GodTopic073|Do you want to die? Cooperate, or you're both dead.
DIAL|0x1012a36|NVDLC01DogDialogueNVDLC01GodTopic070|I could just tell Dog he has the key.
INFO|0x1012a55||
DIAL|0x1012a37|NVDLC01DogDialogueNVDLC01GodTopic069|The key's in there with you - and Dog.
INFO|0x1012a54||
DIAL|0x1012a38|NVDLC01DogDialogueNVDLC01GodTopic068|I could order Dog to come with me. I bet he'd obey.
INFO|0x1012a5e||
DIAL|0x1012a39|NVDLC01DogDialogueNVDLC01GodTopic067|If you don't come with me, he'll set off our collars - yours and mine.
INFO|0x1012a7f||
DIAL|0x1012a3a|NVDLC01DogDialogueNVDLC01GodTopic066|Why did you surround yourself with all these radios?
INFO|0x1012a7c||
INFO|0x1012a7d||
DIAL|0x1012a3b|NVDLC01DogDialogueNVDLC01DogTopic000|So... you're locked in there? Where's the key?
INFO|0x1012a66||
INFO|0x1012a67||
INFO|0x1012a68||
DIAL|0x1012a3d|NVDLC01DogDialogueNVDLC01GodTopic064|Wait. So you... or Dog... doesn't know the key is on him?
INFO|0x1012a57||
DIAL|0x1012a3e|NVDLC01DogDialogueNVDLC01GodTopic063|If you locked him... you... in, what if you couldn't get out?
INFO|0x1012a72||
DIAL|0x1012a3f|NVDLC01DogDialogueNVDLC01GodTopic062|So why did you bring me here?
DIAL|0x1012a40|NVDLC01DogDialogueNVDLC01GodTopic061|What is he doing here?
INFO|0x1012a88||
DIAL|0x1012a41|NVDLC01DogDialogueNVDLC01GodTopic060|Scorched by the sun?
INFO|0x1012a7a||
DIAL|0x1012a43|NVDLC01DogDialogueNVDLC01GodTopic058|No idea, I was unconscious the whole time.
