GMST|0x100e21f|iMapMarkerVisibleDistance|
STAT|0x1003646|Bld03DivWallGFDockLarge01|
STAT|0x1003645|Bld03DivWallDoor01|
STAT|0x1003644|Bld03DivWall02|
STAT|0x1003643|Bld03CorIn01|
STAT|0x1003642|Bld02Mid03|
STAT|0x1003641|Bld02Mid02|
STAT|0x1003640|Bld02Mid01|
STAT|0x100363f|Bld02CornerVarient01|
STAT|0x100363e|Bld02Corner01|
STAT|0x100363d|Bld02c5x2|
STAT|0x100363c|Bld02c4x5|
STAT|0x100363b|BgBld04|
STAT|0x100363a|BgBld03|
STAT|0x1003639|BgBld02a|
STAT|0x1003638|BgBld02|
STAT|0x1003637|BgBld01a|
STAT|0x1003636|BgBld01|
STAT|0x1003635|BarrenWastesPile01|
STAT|0x1003634|NVDLC04RockCanyon10|
STAT|0x1003633|NVDLC04RockCanyon09|
STAT|0x1003632|NVDLC04RockCanyon08|
STAT|0x1003631|NVDLC04RockCanyon07|
STAT|0x1003630|NVDLC04RockCanyon06|
STAT|0x100362f|NVDLC04RockCanyon05|
STAT|0x100362e|NVDLC04RockCanyon04|
STAT|0x100362d|NVDLC04RockCanyon03|
STAT|0x100362c|NVDLC04RockCanyon02|
STAT|0x100362b|NVDLC04RockCanyon01|
STAT|0x100362a|NVDLC04CliffCanyonM01|
STAT|0x1003629|NVDLC04CliffCanyonL03|
STAT|0x1003628|NVDLC04CliffCanyonL02|
STAT|0x1003627|NVDLC04CliffCanyonL01|
STAT|0x1003626|NVDLC04RockCanyonRubblePile05|
STAT|0x1003625|NVDLC04RockCanyonRubblePile04|
STAT|0x1003624|NVDLC04RockCanyonRubblePile03|
STAT|0x1003623|NVDLC04RockCanyonRubblePile02|
STAT|0x1003622|NVDLC04RockCanyonRubblePile01|
STAT|0x1003621|NVDLC04RockCanyon19|
STAT|0x1003620|NVDLC04RockCanyon18|
STAT|0x100361f|NVDLC04RockCanyon17|
STAT|0x100361e|NVDLC04RockCanyon16|
STAT|0x100361d|NVDLC04RockCanyon15|
STAT|0x100361c|NVDLC04RockCanyon14|
STAT|0x100361b|NVDLC04RockCanyon13|
STAT|0x100361a|NVDLC04RockCanyon12|
STAT|0x1003619|NVDLC04RockCanyon11|
STAT|0x10031c1|NVDLC04SiloElevator|
STAT|0x1002d2c|DLCPittMarketRoofStrCustom02|
STAT|0x1002d2b|DLCPittMarketRoofStrCustom01|
STAT|0x1002d2a|DLCPittMarketRoofStrCapR|
STAT|0x1002d29|DLCPittMarketRoofStrCapL|
STAT|0x1002d28|DLCPittMarketRoofStr01NC|
STAT|0x1002d27|DLCPittMarketRoofStr01|
STAT|0x1002d26|DLCPittMarketRoofCorInCapR|
STAT|0x1002d25|DLCPittMarketRoofCorInCapL|
STAT|0x1002d24|DLCPittMarketRoofCorIn01NC|
STAT|0x1002d23|DLCPittMarketRoofCorIn01|
STAT|0x1002d22|DLCPittMarketRoofCor01NC|
STAT|0x1002d21|DLCPittMarketRoofCor01|
STAT|0x1002d20|DLCPittMarketRoof512NC|
STAT|0x1002d1f|DLCPittMarketMidWallCapR|
STAT|0x1002d1e|DLCPittMarketMidWallCapL|
STAT|0x1002d1d|DLCPittMarketMidStr05|
STAT|0x1002d1c|DLCPittMarketMidStr04|
STAT|0x1002d1b|DLCPittMarketMidStr03|
STAT|0x1002d1a|DLCPittMarketMidStr2way03|
STAT|0x1002d19|DLCPittMarketMidStr2way02|
STAT|0x1002d18|DLCPittMarketMidStr2way01|
STAT|0x1002d17|DLCPittMarketMidStr02|
STAT|0x1002d16|DLCPittMarketMidStr01|
STAT|0x1002d15|DLCPittMarketMidCorIn2Way01|
STAT|0x1002d14|DLCPittMarketMidCorIn01|
STAT|0x1002d13|DLCPittMarketMidCor2way01|
STAT|0x1002d12|DLCPittMarketMidCor02|
STAT|0x1002d11|DLCPittMarketMidCor01|
STAT|0x1002d10|DLCPittMarketBotWallDivider01|
STAT|0x1002d0f|DLCPittMarketBotStr2WayCapR|
STAT|0x1002d0e|DLCPittMarketBotStr2WayCapL|
STAT|0x1002d0d|DLCPittMarketBotStr2Way01|
STAT|0x1002d0c|DLCPittMarketBotStr02|
STAT|0x1002d0b|DLCPittMarketBotStr01|
STAT|0x1002d0a|DLCPittMarketBotCorStairs01|
STAT|0x1002d09|DLCPittMarketBotCorIn01|
STAT|0x1002d08|DLCPittMarketBotCor2way01|
STAT|0x1002d07|DLCPittMarketBotCor02|
STAT|0x1002d06|DLCPittMarketBotCor01|
STAT|0x1002d05|DLCPittMarketRoofWallCapR|
STAT|0x1002d04|DLCPittMarketRoofWallCapL|
STAT|0x1002d03|DLCPittMarketRoofWallCap01|
STAT|0x1002d02|DLCPittMarketRoofStrCustom03|
SCOL|0x100aa2b|NVDLC04Bld06Side2SCOL|
SCOL|0x100aa2a|NVDLC04Bld06Side1SCOL|
SCOL|0x1009077|NVDLC04Bld11SideSCOL|
SCOL|0x1009076|NVDLC04Bld11CornerSCOL|
SCOL|0x1007fa4|NVDLC04CounterSCOL|
SCOL|0x1006d61|NVDLC04BrokenPipeSCOL|
SCOL|0x1003a05|NVDLC04MarketPoolSCOL|
SCOL|0x100396b|NVDLC04MarketTallSCOL|
SCOL|0x10037c5|NVDLC04BldMarketSCOL|
SCOL|0x10037c4|NVDLC04Bld03CornerSCOL|
SCOL|0x10037c3|NVDLC04Bld03SideSCOL|
MSTT|0x100df16|NVDLC04SiloKitWallWindow01MS|
MSTT|0x100dbf9|NVDLC04URockectSiloMS|
MSTT|0x100db23|NVDLC04SiloSentryWallMS|
MSTT|0x100d390|NVDLC04FXFireMedGomorrah01|
MSTT|0x100c78a|NVDLC04FXFireMed01|
MSTT|0x64ec3|FXSmokeWispsLg2x1|
MSTT|0x100c666|NVDLC04VaultRConsolPanel03|
MSTT|0x100c65d|NVDLC04VaultGConsolPanel03|
MSTT|0x100c65c|NVDLC04VaultGConsolPanel01|
MSTT|0x100c657|NVDLC04Car03B|
MSTT|0x100c656|NVDLC04Car03A|
MSTT|0x100c36e|NVDLC04Road01Car01|
MSTT|0x100befa|NVDLC04WWSeymour|Seymour
MSTT|0x1009f8b|NVDLC04ColonelGeorgeTaylor|
MSTT|0x100894a|NVDLC04FXElectricArc01|
PWAT|0x1003a06|NVDLC04DivideWater2048x2048|
WEAP|0x100e1f7|NVDLC04WeapTrailCarbineNoDrop|Trail Carbine
WEAP|0xcda5c|HVWeapPlasmaRifleWeak|Plasma Rifle
WEAP|0x100ca89|NVDLC04WeapDeathclawGauntletUnique|Fist of Rawr
WEAP|0x100ca88|NVDLC04WeapDeathclawGauntletUniqueWildWasteland|Fist of the North Rawr
WEAP|0x100ab55|NVDLC04WeapEDEUnlockZapper|ED-E Arc Welder
WEAP|0x100a864|NVDLC04WeapUlyssesEyebotHealGun|Heal Zap
WEAP|0x100a606|NVDLC04WeapBowieKnifeUnique|Blood-Nap
WEAP|0x1009aef|NVDLC04SentryBotMinigun2HR50|SentryBot Minigun
WEAP|0x1009aee|NVDLC04SentryBotMinigun2HR40|SentryBot Minigun
WEAP|0x1009aed|NVDLC04SentryBotMinigun2HR30|SentryBot Minigun
WEAP|0x1009aec|NVDLC04SentryBotMinigun2HR20|SentryBot Minigun
WEAP|0x1009aea|NVDLC04SentryBotMissileLauncher2HL50|Missile Launcher
WEAP|0x1009ae9|NVDLC04SentryBotMissileLauncher2HL40|Missile Launcher
WEAP|0x1009ae8|NVDLC04SentryBotMissileLauncher2HL30|Missile Launcher
WEAP|0x1009ae7|NVDLC04SentryBotMissileLauncher2HL20|Missile Launcher
WEAP|0x1009ae5|NVDLC04SentryBotGatling2HH50|SentryBot Laser Gatling
WEAP|0x1009ae4|NVDLC04SentryBotGatling2HH40|SentryBot Laser Gatling
WEAP|0x1009ae3|NVDLC04SentryBotGatling2HH30|SentryBot Laser Gatling
WEAP|0x1009ae2|NVDLC04SentryBotGatling2HH20|SentryBot Laser Gatling
WEAP|0x10099fb|NVDLC04TurretMarkVILaser2HR50|Laser
WEAP|0x10099fa|NVDLC04TurretMarkVILaser2HR40|Laser
WEAP|0x10099f9|NVDLC04TurretMarkVILaser2HR30|Laser
WEAP|0x10099f8|NVDLC04TurretMarkVILaser2HR20|Laser
WEAP|0x10099f7|NVDLC04TurretMarkIVLaser2HR50|Laser
WEAP|0x10099f6|NVDLC04TurretMarkIVLaser2HR40|Laser
WEAP|0x10099f5|NVDLC04TurretMarkIVLaser2HR30|Laser
WEAP|0x10099f4|NVDLC04TurretMarkIVLaser2HR20|Laser
WEAP|0x10099f3|NVDLC04TurretMarkIILaser2HR50|Laser
WEAP|0x10099f2|NVDLC04TurretMarkIILaser2HR40|Laser
WEAP|0x10099f1|NVDLC04TurretMarkIILaser2HR30|Laser
WEAP|0x10099f0|NVDLC04TurretMarkIILaser2HR20|Laser
WEAP|0x10099a8|NVDLC04WeapUlyssesEyebotGun|Energy Zap
WEAP|0x1009753|NVDLC04WeapFlagpoleNPC50|Old Glory
WEAP|0x1009752|NVDLC04WeapFlagpoleNPC40|Old Glory
WEAP|0x1009751|NVDLC04WeapFlagpoleNPC30|Old Glory
WEAP|0x1009750|NVDLC04WeapFlagpoleNPC20|Old Glory
WEAP|0x100925e|NVDLC04WeapNailGun|H&H Tools Nail Gun
WEAP|0x1008cb9|NVDLC04WeapIndustrialHand|Industrial Hand
WEAP|0x1008b05|NVDLC04WeapBladeWest|Blade of the West
WEAP|0x1008858|NVDLC04WeapSMMG|Shoulder Mounted Machine Gun
WEAP|0x10076e3|NVDLC04WeapSatchelCharge|Satchel Charge
WEAP|0x10076e0|NVDLC04WeapFlagpole|Old Glory
WEAP|0x10076a9|NVDLC04WeapEDEArcWelder|ED-E Arc Welder
WEAP|0x1007670|NVDLC04WeapSonicDetonator|Laser Detonator
WEAP|0x100766b|NVDLC04WeapArcWelder|Arc Welder
WEAP|0x1004c4e|NVDLC04weapflaregun|Flare Gun
WEAP|0x90a6a|WeapNVGrenadeMachinegun|Grenade Machinegun
WEAP|0x1004c3c|NVDLC04WeapRedGlare|Red Glare
WEAP|0x1004c35|NVDLC04WeapGrenadeFlashBang|Flash Bang
WEAP|0x10046c7|NVDLC04WeapBowieKnife|Bowie Knife
WEAP|0x10046c4|NVDLC04WeapGrenadeRifleBLUE|Great Bear Grenade Rifle
WEAP|0x10046c3|NVDLC04WeapGrenadeRifleRED|Red Victory Grenade Rifle
WEAP|0x1000800|WeapNVDLC00Faderator|The Faderator
AMMO|0x100d5cf|AmmoNVDLC04NailsCustom|Flechettes
AMMO|0x100d278|NVDLC04AmmoMissileRobot|Missile
AMMO|0x100a865|AmmoNVDLC04EyebotHeal|Healing Ammo
AMMO|0x1009263|AmmoNVDLC04RocketHE|Rocket, High Explosive
AMMO|0x1009262|AmmoNVDLC04Rocket|Rocket
AMMO|0x1009261|AmmoNVDLC04Nails|Nails
AMMO|0x100925f|AmmoNVDLC04RocketIncendiary|Rocket, Incendiary
NPC_|0x100dc37|NVDLC04UlyssesFake|Ulysses
NPC_|0x100dafc|NVDLC04TempleMarkedMenHunter02Weak|Marked Men Hunter
NPC_|0x100dafb|NVDLC04TempleMarkedMenBomber02Weak|Marked Men Scout
NPC_|0x100dafa|NVDLC04TempleMarkedMenBomber01Weak|Marked Men Scout
NPC_|0x100daf3|NVDLC04TempleMarkedMenMarauder01Weak|Marked Men Marauder
NPC_|0x100daf1|NVDLC04TempleMarkedMenRavager01Weak|Marked Men Ravager
NPC_|0x100daef|NVDLC04TempleMarkedMenRavager02Weak|Marked Men Ravager
NPC_|0x100daee|NVDLC04TempleMarkedMenMarauder02Weak|Marked Men Marauder
NPC_|0x100daed|NVDLC04TempleMarkedMenScout02Weak|Marked Men Scout
NPC_|0x100daec|NVDLC04TempleMarkedMenScout01Weak|Marked Men Scout
NPC_|0x100daeb|NVDLC04TempleMarkedMenHunter01Weak|Marked Men Hunter
NPC_|0x100d99a|NVDLC04NukeNCRHeavyTrooperBoss|Colonel Royez
NPC_|0x100d973|NVDLC04RoadTunnelDeadTrooper03|NCR Ranger
NPC_|0x100d971|NVDLC04RoadTunnelDeadTrooper02|NCR Trooper
NPC_|0x100d970|NVDLC04RoadTunnelDeadTrooper01|NCR Trooper
NPC_|0x100d8fc|NVDLC04NukeNCRColonel|Irradiated Heavy Trooper
NPC_|0x100d89f|NVDLC04NukeNCRHeavyTrooper|Irradiated Heavy Trooper
NPC_|0x100d789|NVDLC04Divide2MarkedMenMarauder|Marked Men Marauder
NPC_|0x100d788|NVDLC04Divide2MarkedMenRavager|Marked Men Ravager
NPC_|0x100d787|NVDLC04Divide2MarkedMenHunter|Marked Men Hunter
NPC_|0x100d786|NVDLC04Divide2MarkedMenScout|Marked Men Scout
NPC_|0x100d315|NVDLC04Kid|The Child
NPC_|0x100d314|NVDLC04Howard|Dr. Howard
NPC_|0x100d313|NVDLC04Announcer|Announcer
NPC_|0x100d312|NVDLC04Dad|The Father
NPC_|0x100d311|NVDLC04Whitley|Whitley
NPC_|0x100d1ae|NVDLC04DeadSniper02|NCR Riot Control
NPC_|0x100d1aa|NVDLC04DeadSniper|NCR Riot Control
NPC_|0x100d1a4|NVDLC04DeadGeneral|General Martin Retslaf
NPC_|0x100d1a3|NVDLC04Skeleton01|Marked Men Hunter
NPC_|0x100c9d5|NVDLC04Road02MarkedMenHunter|Marked Men Hunter
NPC_|0x100c859|NVDLC04Road02MarkedMenRavager|Marked Men Ravager
NPC_|0x100c34c|NVDLC04NukeSilo2Scout|Irradiated Marked Men Scout
NPC_|0x100c34b|NVDLC04NukeSilo2Hunter|Irradiated Marked Men Hunter
NPC_|0x100c312|NVDLC04NukeSilo2Ravager|Irradiated Marked Men Ravager
NPC_|0x100c30f|NVDLC04NukeSilo2Marauder|Irradiated Marked Men Marauder
NPC_|0x100c346|NVDLC04DeadNCRVeteranPowerArmor|NCR Heavy Trooper
NPC_|0x100c204|NVDLC04NukeLegionExplorerMelee|Irradiated Legion Explorer
NPC_|0x100c1ff|NVDLC04NukeLegionExplorerRange|Irradiated Legion Explorer
NPC_|0x100c1fe|NVDLC04NukeLegionLegionaryMelee|Irradiated Legionary Prime
NPC_|0x100c1f9|NVDLC04NukeLegionLegionaryRange|Irradiated Legionary Veteran
NPC_|0x100c1f7|NVDLC04NukeLegionCenturion|Gaius Magnus
NPC_|0x100c005|NVDLC04DeadNCRRangerVeteran|NCR Trooper
NPC_|0x100bd37|NVDLC04AudioLogTrooper03|Trooper Gleeson
NPC_|0x100bd35|NVDLC04AudioLogTrooper01|NCR Trooper
NPC_|0x100ad19|NVDLC04TempleMarkedMenScout02|Marked Men Scout
NPC_|0x100a909|NVDLC04Road01PostMarkedMenMarauder|Marked Men Marauder
NPC_|0x100a908|NVDLC04Road01PostMarkedMenRavager|Marked Men Ravager
NPC_|0x100a907|NVDLC04Road01PostMarkedMenScout|Marked Men Scout
NPC_|0x100a906|NVDLC04Road01PostMarkedMenHunter|Marked Men Hunter
NPC_|0x100a873|NVDLC04Merchant|Commissary
NPC_|0x100a7db|NVDLC04TempleMarkedMenRavager02|Marked Men Ravager
NPC_|0x100a7da|NVDLC04TempleMarkedMenMarauder02|Marked Men Marauder
NPC_|0x100a7d9|NVDLC04TempleMarkedMenHunter02|Marked Men Hunter
NPC_|0x100a7d8|NVDLC04TempleMarkedMenBomber02|Marked Men Scout
NPC_|0x100a691|NVDLC04TempleMarkedMenBomber01|Marked Men Scout
NPC_|0x1009a00|NVDLC04TempleMarkedMenMarauder01|Marked Men Marauder
NPC_|0x1009815|NVDLC04Road02MarkedMenSurvivor|Marked Men Scout
NPC_|0x10097a8|NVDLC04Road02MarkedMenMarauder|Marked Men Marauder
NPC_|0x10097a5|NVDLC04Road02MarkedMenScout|Marked Men Scout
NPC_|0x100949d|NVDLC04TempleMarkedMenHunter01|Marked Men Hunter
NPC_|0x100949c|NVDLC04TempleMarkedMenScout01|Marked Men Scout
NPC_|0x100949b|NVDLC04TempleMarkedMenRavager01|Marked Men Ravager
NPC_|0x100936f|NVDLC04DivideEastCampMarkedMenHunter|Marked Men Hunter
NPC_|0x100936d|NVDLC04DivideEastCampMarkedMenRavager|Marked Men Ravager
NPC_|0x100936c|NVDLC04DivideEastCampMarkedMenScout|Marked Men Scout
NPC_|0x10092eb|NVDLC04MarkedMentest01|datest
NPC_|0x100923e|NVDLC04Narrator|Bill the Tax Collector
NPC_|0x100910c|NVDLC04DivideMarkedMenMarauderRespawn|Marked Men Marauder
NPC_|0x100910b|NVDLC04DivideMarkedMenHunterRespawn|Marked Men Hunter
NPC_|0x100910a|NVDLC04DivideMarkedMenScoutRespawn|Marked Men Scout
NPC_|0x1009109|NVDLC04DivideMarkedMenRavagerRespawn|Marked Men Ravager
NPC_|0x10090b0|NVDLC04Silo01DeadMarkedMenHunter|Marked Men Hunter
NPC_|0x10090aa|NVDLC04Silo01DeadMarkedMenScout|Marked Men Scout
NPC_|0x10090a3|NVDLC04Silo01DeadMarkedMenRavager|Marked Men Ravager
NPC_|0x1009078|NVDLC04DivideMarkedMenScoutSniper|Marked Men Scout
NPC_|0x10089f0|NVDLC04Road01MarkedMenScout|Marked Men Scout
NPC_|0x10089ef|NVDLC04Road01Camp01MarkedMenScout|Marked Men Scout
NPC_|0x10089ee|NVDLC04Road01Camp01MarkedMenHunter|Marked Men Hunter
NPC_|0x10089ed|NVDLC04Road01Camp01MarkedMenRavager|Marked Men Ravager
NPC_|0x10089ec|NVDLC04Road01MarkedMenHunter|Marked Men Hunter
NPC_|0x10089eb|NVDLC04Road01MarkedMenRavager|Marked Men Ravager
NPC_|0x10089ea|NVDLC04Road01CampBossMarkedMenHunter|Marked Men Hunter
NPC_|0x10089e9|NVDLC04Road01CampBossMarkedMenScout|Marked Men Scout
NPC_|0x10089e8|NVDLC04Road01CampBossMarkedMenRavager|Marked Men Ravager
NPC_|0x10089e7|NVDLC04Road01MarkedMenMarauder|Marked Men Hunter
NPC_|0x100899d|NVDLC04DivideMarkedMenHunterD01|Marked Men Hunter
NPC_|0x100899c|NVDLC04DivideMarkedMenScoutD01|Marked Men Scout
NPC_|0x1008805|NVDLC04DivideMarkedMenScout|Marked Men Scout
NPC_|0x1008804|NVDLC04DivideMarkedMenRavager|Marked Men Ravager
NPC_|0x1008803|NVDLC04DivideMarkedMenHunter|Marked Men Hunter
NPC_|0x1008802|NVDLC04DivideMarkedMenMarauder|Marked Men Marauder
NPC_|0x10086f5|NVDLC04MarkedMenScoutBoss|Blade
NPC_|0x10086f4|NVDLC04MarkedMenRavagerBoss|Bonesaw
NPC_|0x10086f3|NVDLC04MarkedMenMarauderBoss|Beast
NPC_|0x10086f2|NVDLC04MarkedMenHunterBoss|Blister
NPC_|0x10086f1|NVDLC04MarkedMenMarauder|Marked Men Marauder
NPC_|0x10086f0|NVDLC04MarkedMenRavager|Marked Men Ravager
NPC_|0x10086ef|NVDLC04MarkedMenHunter|Marked Men Hunter
NPC_|0x10086ee|NVDLC04MarkedMenScout|Marked Men Scout
NPC_|0x10086ed|NVDLC04MarkedMenTEMPLATE|Marked Men
NPC_|0x1003e40|NVDLC04Ulysses|Ulysses
CREA|0x100dee2|NVDLC04TunnelerAlt|Tunneler
CREA|0x100da78|NVDLC04DeathclawWandererLVL|
CREA|0x100d91e|NVDLC04CrTurretLVLTempleMaint|
CREA|0x100d8c7|NVDLC04NukeNCRGlowingGhoulLVL|
CREA|0x100d8c6|NVDLC04NukeNCRGlowingGhoul50|Glowing Trooper Ghoul
CREA|0x100d8c5|NVDLC04NukeNCRGlowingGhoul40|Glowing Trooper Ghoul
CREA|0x100d8c4|NVDLC04NukeNCRGlowingGhoul30|Glowing Trooper Ghoul
CREA|0x100d8c3|NVDLC04EyebotMedicalLVL|
CREA|0x100d8c2|NVDLC04EyebotMedical50|Medical Eyebot
CREA|0x100d8c1|NVDLC04EyebotMedical40|Medical Eyebot
CREA|0x100d8c0|NVDLC04EyebotMedical30|Medical Eyebot
CREA|0x100d8bf|NVDLC04EyebotRepairLVL|
CREA|0x100d8bd|NVDLC04EyebotRepair50|Repair Eyebot
CREA|0x100d8bc|NVDLC04EyebotRepair40|Repair Eyebot
CREA|0x100d8bb|NVDLC04EyebotRepair30|Repair Eyebot
CREA|0x100d5c3|NVDLC04DeathclawBossDead|Rawr
CREA|0x100d567|NVDLC04DivideDeathClawRespawn|
CREA|0x100cf86|NVDLC04NukeNCRGlowingGhoul20|Glowing Trooper Ghoul
CREA|0x100c64f|AudioTemplateRobotEde|AudioTemplateRobotEde
CREA|0x168d05|VSpawnSpecialTier1CoyoteMed75Golf|
CREA|0x15c64d|VSpawnTier1CoyoteMed75|
CREA|0x100c22d|NVDLC04DeathclawNuked|Irradiated Deathclaw
CREA|0x100b6c2|NVDLC04UlyssesSentryBotGL|
CREA|0x100b6c0|NVDLC04UlyssesSentryBotMG|
CREA|0x100b3e4|NVDLC04Silo02ElevTunnelerVictim02|Tunneler
CREA|0x100ad12|NVDLC04Silo02ElevTunnelerVictim|Tunneler
CREA|0x100ad0e|NVDLC04Tunneler|Tunneler
CREA|0x100a389|NVDLC04Road02OverpassDeathclawLVL|
CREA|0x1009810|NVDLC04Road02DeathClawDEAD|Deathclaw
CREA|0x1009688|NVDLC04Silo02ElevTunnelerWaveAmb|
CREA|0x1009687|NVDLC04Silo02ElevTunnelerWaveBrute|
CREA|0x1009686|NVDLC04Silo02ElevTunnelerWaveVen|
CREA|0x100953a|NVDLC04CrTurretMarkVILVL|
CREA|0x1009539|NVDLC04CrTurretMarkIVLVL|
CREA|0x1009538|NVDLC04CrTurretMarkVI50|Mark VI Turret
CREA|0x1009537|NVDLC04CrTurretMarkVI40|Mark VI Turret
CREA|0x1009536|NVDLC04CrTurretMarkVI30|Mark VI Turret
CREA|0x1009535|NVDLC04CrTurretMarkVI01|Mark VI Turret
CREA|0x1009534|NVDLC04CrTurretMarkIV50|Mark IV Turret
CREA|0x1009533|NVDLC04CrTurretMarkIV40|Mark IV Turret
CREA|0x1009532|NVDLC04CrTurretMarkIV30|Mark IV Turret
CREA|0x1009531|NVDLC04CrTurretMarkIV01|Mark IV Turret
CREA|0x100952f|NVDLC04CrTurretMarkII50|Mark II Turret
CREA|0x100952e|NVDLC04CrTurretMarkII40|Mark II Turret
CREA|0x100952d|NVDLC04CrTurretMarkII30|Mark II Turret
CREA|0x100952c|NVDLC04CrTurretMarkII01|Mark II Turret
CREA|0x100952a|NVDLC04CrMoleRatLVL|Mole Rat
CREA|0x1009529|NVDLC04CrMoleRat50|Mole Rat
CREA|0x1009528|NVDLC04CrMoleRat40|Mole Rat
CREA|0x1009527|NVDLC04CrMoleRat30|Mole Rat
CREA|0x1009526|NVDLC04CrMoleRat01|Mole Rat
CREA|0x1009524|NVDLC04CrDeathClawAlphaLVL|Deathclaw Alpha Male
CREA|0x1009523|NVDLC04CrDeathClawAlpha50|Deathclaw Alpha Male
CREA|0x1009522|NVDLC04CrDeathClawAlpha40|Deathclaw Alpha Male
CREA|0x1009521|NVDLC04CrDeathClawAlpha30|Deathclaw Alpha Male
CREA|0x1009520|NVDLC04CrDeathClawAlpha01|Deathclaw Alpha Male
CREA|0x100951e|NVDLC04CrMoleRatPupLVL|Mole Rat Pup
CREA|0x100951d|NVDLC04CrMoleRatPup50|Mole Rat Pup
CREA|0x100951c|NVDLC04CrMoleRatPup40|Mole Rat Pup
CREA|0x100951b|NVDLC04CrMoleRatPup30|Mole Rat Pup
CREA|0x100951a|NVDLC04CrMoleRatPup01|Mole Rat Pup
CREA|0x1009516|NVDLC04CrDeathClawYoungLVL|Young Deathclaw
CREA|0x1009515|NVDLC04CrDeathClaw50|Deathclaw
CREA|0x1009514|NVDLC04CrDeathClaw40|Deathclaw
CREA|0x1009513|NVDLC04CrDeathClaw30|Deathclaw
CREA|0x1009512|NVDLC04CrDeathClaw01|Deathclaw
CREA|0x1009511|NVDLC04CrDeathClawYoung50|Young Deathclaw
CREA|0x1009510|NVDLC04CrDeathClawYoung40|Young Deathclaw
CREA|0x100950f|NVDLC04CrDeathClawYoung30|Young Deathclaw
CREA|0x100950e|NVDLC04CrDeathClawYoung01|Young Deathclaw
CREA|0x1009492|NVDLC04TunnelTunnelerWaveVen|
CREA|0x1009491|NVDLC04TunnelTunnelerWaveAmb|
CREA|0x1009490|NVDLC04TunnelTunnelerWaveBrute|
CREA|0x1009457|NVDLC04TunnelTunnelerScare02|Hulking Tunneler
CREA|0x1009419|NVDLC04TunnelTunnelerScare|Tunneler
CREA|0x1009418|NVDLC04CrDeathClawTunnel|Deathclaw
CREA|0x100914a|NVDLC04EyebotMedical20|Medical Eyebot
CREA|0x1009149|NVDLC04EyebotRepair20|Repair Eyebot
CREA|0x10090a6|NVDLC04CrSentryBotMGArmySilo01DeadBot|Sentry Bot
CREA|0x1008e70|NVDLC04DivideCaveTBrute|
CREA|0x1008e6f|NVDLC04DivideCaveTAmbusher|
CREA|0x1008e6e|NVDLC04DivideCaveTunneler|
CREA|0x1008e6d|NVDLC04DivideCaveTVenom|
CREA|0x1008c0e|NVDLC04DivideWPTunneler|
CREA|0x1008978|NVDLC04DivideMoleRatMed|Mole Rat
CREA|0x1008976|NVDLC04DivideMoleRatSmall|Mole Rat Pup
CREA|0x1008975|NVDLC04DivideDeathClawMed|
CREA|0x1008949|NVDLC04CrSentryBotMGArmyLVLSilo01Floor02|
CREA|0x1008948|NVDLC04CrTurretLVLSilo01Floo01|
CREA|0x1008947|NVDLC04CrSentryBotGLArmyLVLSilo01Attack01|
CREA|0x1008946|NVDLC04CrSentryBotMGArmyLVLSilo01Attack02|
CREA|0x10086fb|NVDLC04DeathclawAmbusherLVL|
CREA|0x10086fa|NVDLC04CrTurretMarkIILVL|
CREA|0x10086f8|NVDLC04CrTurretMarkVI20|Mark VI Turret
CREA|0x10086f7|NVDLC04CrTurretMarkIV20|Mark IV Turret
CREA|0x10086f6|NVDLC04CrTurretMarkII20|Mark II Turret
CREA|0x10086ec|NVDLC04CrSentryBotMGArmyLVL|
CREA|0x10086eb|NVDLC04CrSentryBotGLArmyLVL|
CREA|0x10086e8|NVDLC04CrSentryBotMGArmy50|Sentry Bot
CREA|0x10086e7|NVDLC04CrSentryBotMGArmy40|Sentry Bot
CREA|0x10086e6|NVDLC04CrSentryBotMGArmy30|Sentry Bot
CREA|0x10086e5|NVDLC04CrSentryBotMGArmy20|Sentry Bot
CREA|0x10086e4|NVDLC04CrSentryBotGLArmy50|Sentry Bot
CREA|0x10086e3|NVDLC04CrSentryBotGLArmy40|Sentry Bot
CREA|0x10086e2|NVDLC04CrSentryBotGLArmy20|Sentry Bot
CREA|0x10086e1|NVDLC04CrSentryBotGLArmy30|Sentry Bot
CREA|0x10086e0|NVDLC04CrSentryBotMGArmy01|Sentry Bot
CREA|0x10086df|NVDLC04CrSentryBotGLArmy01|Sentry Bot
CREA|0x10086de|NVDLC04CrMoleRatPup20|Mole Rat Pup
CREA|0x10086dd|NVDLC04CrMoleRat20|Mole Rat
CREA|0x10086dc|NVDLC04TunnelerBoss|Tunneler Queen
CREA|0x10086db|NVDLC04TunnelerVenomLVL|
CREA|0x10086d9|NVDLC04TunnelerVenom50|Venomous Tunneler
CREA|0x10086d8|NVDLC04TunnelerVenom40|Venomous Tunneler
CREA|0x10086d7|NVDLC04TunnelerVenom30|Venomous Tunneler
CREA|0x10086d6|NVDLC04TunnelerVenom20|Venomous Tunneler
CREA|0x10086d4|NVDLC04TunnelerVenom01|Venomous Tunneler
CREA|0x10086d3|NVDLC04TunnelerBruteLVL|
CREA|0x10086d1|NVDLC04TunnelerBrute50|Hulking Tunneler
CREA|0x10086d0|NVDLC04TunnelerBrute40|Hulking Tunneler
CREA|0x10086cf|NVDLC04TunnelerBrute30|Hulking Tunneler
